seed,trained,evaluated,crashrate,mergerate,ego speed,road speed
21, 5, 20, 0.04666666666666667, 0.94, 22.199269343085042, 21.026284672133823
21, 12, 20, 0.02, 0.9766666666666667, 22.981099053188604, 21.22844187886273
21, 20, 20, 0.056666666666666664, 0.9433333333333334, 21.226174749488468, 21.171169210519064
21, 30, 20, 0.05, 0.9466666666666667, 19.891262026151363, 21.086347846599157
42, No Interference, 20, 0.09666666666666666, 0.8166666666666667, 14.310103245008207, 20.412804222251562
42, 3, 20, 0.05, 0.9233333333333333, 21.18220870811268, 21.024743891585903
42, 5, 20, 0.03333333333333333, 0.9366666666666666, 22.301416712874268, 21.06370341314285
42, 12, 20, 0.02, 0.9733333333333334, 22.85766947438983, 21.264977642020735
42, 20, 20, 0.06666666666666667, 0.93, 21.178924157016308, 21.134039086266856
42, 30, 20, 0.05, 0.95, 20.441640665314356, 21.042881934746312
112, No Interference, 20, 0.10666666666666667, 0.78, 14.322866482132268, 20.39354232739445
112, 3, 20, 0.08, 0.91, 21.26506194036609, 21.044014314859155
112, 5, 20, 0.043333333333333335, 0.94, 22.175971587791892, 21.205455032548684
112, 12, 20, 0.03333333333333333, 0.9633333333333334, 22.888182570924553, 21.23614861768412
112, 20, 20, 0.03333333333333333, 0.9666666666666667, 20.89909583407974, 21.020495494789714
112, 30, 20, 0.05, 0.9433333333333334, 20.138007147621384, 21.01004488867304
110, No Interference, 20, 0.08666666666666667, 0.8166666666666667, 14.078203916499461, 20.38623171028349
110, 3, 20, 0.06333333333333334, 0.92, 21.5789127949278, 20.979252767629276
110, 5, 20, 0.043333333333333335, 0.9466666666666667, 22.37962245646093, 21.204517384624598
110, 12, 20, 0.03666666666666667, 0.9633333333333334, 22.831680213779673, 21.144526841506433
110, 20, 20, 0.06, 0.94, 21.31151576844137, 21.146814954980908
110, 30, 20, 0.03, 0.9666666666666667, 20.691720826214052, 21.062223400630483
666, No Interference, 20, 0.12, 0.7733333333333333, 14.394651293209025, 20.35810007369901
666, 3, 20, 0.043333333333333335, 0.95, 21.636024232889294, 21.143931357407375
666, 5, 20, 0.06333333333333334, 0.9233333333333333, 22.138494220212834, 21.12291267632495
666, 12, 20, 0.02666666666666667, 0.97, 22.723385935410313, 21.14044536785552
666, 20, 20, 0.056666666666666664, 0.94, 21.556144105060255, 21.20097005133315
666, 30, 20, 0.04666666666666667, 0.9433333333333334, 20.63321612779061, 21.16791895738093
72, No Interference, 20, 0.1, 0.8266666666666667, 14.2078426312298, 20.309717083314663
72, 3, 20, 0.043333333333333335, 0.9433333333333334, 21.252314036772557, 20.963667806381505
72, 5, 20, 0.05, 0.9233333333333333, 22.358513618091255, 21.190292290140366
72, 12, 20, 0.04666666666666667, 0.9466666666666667, 22.87864059541776, 21.19006283544057
72, 20, 20, 0.05, 0.94, 21.000751770922655, 21.05042585067589
72, 30, 20, 0.043333333333333335, 0.9533333333333334, 20.32115976245045, 20.985682537741376
80, No Interference, 20, 0.08333333333333333, 0.83, 14.229657333787468, 20.39861941214184
